text,answer
السلام عليكم عندنا مستأجر مركب 3كاميرات 2 فى مدخل البيت و واحدة على باب شقته و الكاميرات الموجودة بالمدخل مخترقة خصوصيتنا طلبنا منه اكتر من مرة يشيل الكاميرات اللى بالمدخل و رفض هل من حقه يركب كاميرات بالمدخل مع العلم لم يستأذن السكان قبل تركيبها,"عندما ينتهك المستأجر خصوصية الآخرين عبر تركيب الكاميرات بالأماكن العامة، يمكن للسكان المتضررين رفع شكوى لدى الجهات المسؤولة والتطلع إلى اللوائح والقوانين المحلية التي تنظم هذا الأمر."
السلام عليكم انا واخده شقة ايجار بس كاتبين عقد ابتدائي غير موثق في الشهر العقاري ومفروض أنه 5 سنين وفي زيادة عشر في الميه كل سنه والمفروض باقيلي سنه وعقدي يخلص بس المالك عاوز زيادة 700 جنيه وبيقولي لو مدفعتيش همشيكي  عاوزه افهم هو ينفع فعلا يعمل كده وكمان كاتب بند في العقد أنه لو عاوز يمشيني يعرفني قبلها ب 3 شهور ويمشيني أنا محتاجه افهم,"عمومًا، لا يجوز للمالك زيادة الإيجار خلال فترة العقد أو بنهاية العقد إذا لم يتفق الطرفان على ذلك."
استأذنكم .. دلوقت أنا ببيع سيارتى بعقد مسجل بالشهر العقارى..لكن المشترى مش عايز يمضى على العقد غير وقت نقل ملكية السيارة.. هل دا طبيعى؟وهل أنا كدا خرجت نفسى من مسؤلية تبديد اللوحات؟,"أيضًا، في حالة عدم التزام المشتري هذا الشرط، فإنك تبقى مسؤولًا عن تبديد اللوحات حتى يتم تسجيل المركبة باسم المشتري وتسليمه اللوحات الجديدة."
عندي بارتشين فى نادي وللاسف حصل مشاكل فى النادي ادة ان الانشطه صارت معدومه ومعتش فيه حد بيخش النادي وبقا المكان شبه مهجور مقتصر على نشاطات بسيطه كنت مأجر بعقد 3 سنبن . ودافع تأمين شهرين وانا الى عامل البارتشن على حسابي ومن ضمن شروط العقد ان البارتشين هيكون ملكية المكان طبعا مع ظروف النادي والوضع الحالي اتراكم عليا ايجار 3 شههور. ف انا عايز اسيب المكان ب اقل خساير اي الوضع قانونا هل فى مخرج. او اى حاجه اقدر استفادها لو قومت محامي,كما يجب ان تتأكد من المبالغ التي عليك دفعها للنادي عند الإلغاء وإبلاغهم بالإلغاء بعد التأكد من الإجراءات اللازمة التى يجب اتباعها.
توفت امى ولها ميراث عند ابوها المتوفى وسيتم التنازل عنه لصالح خالى هل هذا العقد يخضع لضريبه التصرفات العقاريه وهل يوجد صيغه معينه لتجنب الضريبه,"في العادة ، يخضع التنازل عن الميراث لرسوم النقل والمصاريف والضرائب المتعلقة بالعقارات ، وتختلف التكاليف من دولة إلى أخرى."
سلام عليكم ورحمة الله وبركاته لو انا ماضى على ايصال امانه ب 9الاف جنيه وانا مش معايه الفلوس دلوقى وصاحب الايصال رافع عليا الوصل ايه العقوبه الى هخدها,"إذا كان لديك إيصال أمانة بقيمة تسعة آلاف جنيه ولم تتمكن من إعادة المبلغ المودع، فيمكن أن تواجه اتهامات بالاحتيال والاختلاس."
محتاج اعمل سجل تجاريمن غير ماخش فى سكة بطاقه ضريبية مع العلم انه محل سوبر ماركت,"قد يختلف الإجراء المطلوب حسب بلدك، لذا يفضل التواصل مع الجهات المختصة في بلدك لتحديد الإجراءات التي تحتاج إليها ومتطلبات السجل التجاري."
جماعه عاوز محامي اتكلم معاه بأستفاضه اكون شاكر ليه جدا ضروري بخصوص حاجه تابع النفقه و شكرا ,يمكنك طرح سؤالك وأنا سأحاول الإجابة عليه بأفضل طريقة ممكنة.
هل من الممكن تقسيم الورث في عدم وجود احد الورثه؟,"إذا كان أحد الورثة قد توفي قبل بدء تقسيم التركة، فإن حصته يتم توزيعها على الورثة الآخرين بنفس النسبة المقررة في الشريعة أو بناءً على الوصية إن وجدت."
:السلام عليكم عندى شقة فى الشروق و معايا الورق التالي و كل  الناس مصصمة لازم توكيل بيع للنفس و العير مع العلم ان معايا عقد بيع عليه صحة توقيع و حكم محكمةمخالصة بثمن الشقةتوكيل حق تنازل للنفس عن عداد الكهرباءتوكيل بيع للنفس فقط,عليك التأكد من أن جميع الوثائق الخاصة بالشقة تمت المصادقة عليها ولا توجد بها أي أخطاء قبل القيام بعملية البيع.
سلام عليكم علية حكم غيابى سنة جنحة ضرب ومعاية مايسبت انى فى شغلى متوقع براء ولا استناف وشكرا,"أما بشأن تأثير هذا الحكم على وضعك الوظيفي، فيعتمد ذلك على سياسة الشركة التي تعمل بها وقوانين العمل المعمول بها."
من فضلكم لو انا مسافر خارج مصر وعايز اشتري شقه ينفع تتكتب بأسمي وانا مسافر,ولكن يجب عليك توكيل محامي مصري مختص للقيام بالإجراءات اللازمة وتمثيلك في المحاكم والمؤسسات الحكومية المختلفة.
اشتريت ارض وبنيت عليها وسكنت ومستقر ليا عشر سنواتاللي اشتريت منه الارض اخواته رفعو عليه قضيه ريع وبعدين فرز وتجنيب وبعتو اعلان لكل اشترى وبنا وانا واحد من ضمن ١٧ واحد باني ومستقرايه العمل وهل فيه ضرر علينا ولازم نحضر ولا مش لازم ارجو الافاده مع وافر شكري وتقديري,"قد يكون هناك تأثير على حالتك القانونية بعد الفرز والتجنيب، ولذلك يجب عليك الاستشارة بشأن هذه القضية مع محامي مختص في قوانين العقارات والملكية العقارية."
عايزه محامى او محاميه يكونو مش همهم بس الفلوس ولا بيبيعو الشخص للخصم قضايا اسره,"يمكنك البحث عن محاميين ذوي خبرة جيدة في مجال القضايا الأسرية، والذين يتمتعون بسمعة جيدة في المجتمع ويتمتعون بخبرة في التعامل مع القضايا الأسرية."
يوجد عقد ايجار قديم لشقه ملك والدي لسيده وتوفي والدي وتوفيت السيده منذ 5سنوات ولها اولاد متزوجون ولكن لها بنت لم تتزوج وهي في الشقه الان ولكنها علي فراش الموت والله اعلم واخاف بعد موتها أن يسكن في الشقه أحد من اخواتها المتزوجون فهل هناك تصرف قانوني الان لضمان حقي,"في الواقع ، بموجب القانون ، لديك الحق في المطالبة بالإخلاء في حالة عدم دفع الإيجار في الوقت المناسب أو خرق الشروط المنصوص عليها في العقد."
قضية ضرب افضى لموت ليه محامى المتوفى طالب من اهله اعلام وراثه؟؟,"عمومًا، في مثل هذه الحالات، يكون لأسرة المتوفى حق إعلام السلطات المعنية عن وفاته، وإجراء التحقيقات اللازمة واتخاذ الإجراءات القانونية المناسبة ضد المتسبب في الوفاة."
