text,papers
السلام عليكم عندنا مستأجر مركب 3كاميرات 2 فى مدخل البيت و واحدة على باب شقته و الكاميرات الموجودة بالمدخل مخترقة خصوصيتنا طلبنا منه اكتر من مرة يشيل الكاميرات اللى بالمدخل و رفض هل من حقه يركب كاميرات بالمدخل مع العلم لم يستأذن السكان قبل تركيبها,وهذا يشمل: 1- الشهادات العائلية لجميع السكان المعنيين 2- عقد الإيجار الخاص بالوحدة السكنية 3 - أي صور للكاميرات في الأماكن التي يمكن أن تؤدي إلى خرق الأمانة.
السلام عليكم انا واخده شقة ايجار بس كاتبين عقد ابتدائي غير موثق في الشهر العقاري ومفروض أنه 5 سنين وفي زيادة عشر في الميه كل سنه والمفروض باقيلي سنه وعقدي يخلص بس المالك عاوز زيادة 700 جنيه وبيقولي لو مدفعتيش همشيكي  عاوزه افهم هو ينفع فعلا يعمل كده وكمان كاتب بند في العقد أنه لو عاوز يمشيني يعرفني قبلها ب 3 شهور ويمشيني أنا محتاجه افهم,"وعليكم السلام، يجب عليك مراجعة العقد الابتدائي الذي تم توقيعه لتحديد مدة العقد والزيادة السنوية المذكورة فيه."
استأذنكم .. دلوقت أنا ببيع سيارتى بعقد مسجل بالشهر العقارى..لكن المشترى مش عايز يمضى على العقد غير وقت نقل ملكية السيارة.. هل دا طبيعى؟وهل أنا كدا خرجت نفسى من مسؤلية تبديد اللوحات؟,يجب عليك التأكد من عقد البيع المسجل بالشهر العقاري لتحديد أي التزامات قانونية قد تكون عليك عندما تتم عملية نقل الملكية.
عندي بارتشين فى نادي وللاسف حصل مشاكل فى النادي ادة ان الانشطه صارت معدومه ومعتش فيه حد بيخش النادي وبقا المكان شبه مهجور مقتصر على نشاطات بسيطه كنت مأجر بعقد 3 سنبن . ودافع تأمين شهرين وانا الى عامل البارتشن على حسابي ومن ضمن شروط العقد ان البارتشين هيكون ملكية المكان طبعا مع ظروف النادي والوضع الحالي اتراكم عليا ايجار 3 شههور. ف انا عايز اسيب المكان ب اقل خساير اي الوضع قانونا هل فى مخرج. او اى حاجه اقدر استفادها لو قومت محامي,"إذا كانت الشروط تسمح بإلغاء العقد واسترداد جزء من الأموال المدفوعة، فيمكنك اتباع الإجراءات المنصوص عليها في العقد."
توفت امى ولها ميراث عند ابوها المتوفى وسيتم التنازل عنه لصالح خالى هل هذا العقد يخضع لضريبه التصرفات العقاريه وهل يوجد صيغه معينه لتجنب الضريبه,"لذلك، ينبغي الاستشارة بمحامي متخصص في القوانين العقارية بالدولة المعنية لمعرفة الصيغة القانونية المناسبة والوثائق المطلوبة لتجنب الضريبة."
سلام عليكم ورحمة الله وبركاته لو انا ماضى على ايصال امانه ب 9الاف جنيه وانا مش معايه الفلوس دلوقى وصاحب الايصال رافع عليا الوصل ايه العقوبه الى هخدها,إذا لم تستطعي دفع المبلغ المتبقي على الايصال فإن صاحب الايصال له الحق في رفع دعوى قضائية ضدك لاسترداد المبلغ المتبقي.
محتاج اعمل سجل تجاريمن غير ماخش فى سكة بطاقه ضريبية مع العلم انه محل سوبر ماركت,"بعد تقديم الطلب والمستندات المطلوبة، ستحتاج إلى دفع الرسوم المقررة لإصدار السجل التجاري ونشره في الجرائد الرسمية."
جماعه عاوز محامي اتكلم معاه بأستفاضه اكون شاكر ليه جدا ضروري بخصوص حاجه تابع النفقه و شكرا ,يرجى إعلامي بموعد مقابلتكم المفضل حتى يتم الإعداد لها.
هل من الممكن تقسيم الورث في عدم وجود احد الورثه؟,"نعم، يمكن تقسيم ميراث المتوفى في حالة عدم وجود أحد الورثة بما يسمى ""اختفاء وريث""، وفقًا للأنظمة القانونية في بعض الدول."
:السلام عليكم عندى شقة فى الشروق و معايا الورق التالي و كل  الناس مصصمة لازم توكيل بيع للنفس و العير مع العلم ان معايا عقد بيع عليه صحة توقيع و حكم محكمةمخالصة بثمن الشقةتوكيل حق تنازل للنفس عن عداد الكهرباءتوكيل بيع للنفس فقط,"وأخيراً، يجب عليك التأكد من صحة جميع الأوراق المطلوبة قبل تقديمها إلى المحكمة، وتأكد من عدم وجود أية مطالبات قانونية لأي من المالكين الأصليين للشقة."
